# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     0.90%     0.00%  iou-wrk-3088     [kernel.vmlinux]  [k] io_read
     0.90%     0.00%  iou-wrk-3088     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.01%  iou-wrk-3091     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.01%  iou-wrk-3074     [kernel.vmlinux]  [k] io_issue_sqe
     0.90%     0.00%  iou-wrk-3074     [kernel.vmlinux]  [k] io_wq_submit_work
     0.89%     0.01%  iou-wrk-3091     [kernel.vmlinux]  [k] io_read
     0.89%     0.00%  iou-wrk-3074     [kernel.vmlinux]  [k] io_read
     0.89%     0.03%  iou-wrk-3093     [kernel.vmlinux]  [k] filemap_read
     0.89%     0.01%  iou-wrk-3098     [kernel.vmlinux]  [k] io_worker_handle_work
     0.89%     0.05%  iou-wrk-3096     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.88%  fio              [kernel.vmlinux]  [k] native_queued_spin_lock_slowpath
     0.88%     0.01%  iou-wrk-3101     [kernel.vmlinux]  [k] io_worker_handle_work
     0.88%     0.16%  fio              [kernel.vmlinux]  [k] put_prev_entity
     0.88%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3085     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3085     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.04%  iou-wrk-3090     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.06%  iou-wrk-3083     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.03%  iou-wrk-3062     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.01%  iou-wrk-3070     [kernel.vmlinux]  [k] io_read
     0.87%     0.00%  iou-wrk-3070     [kernel.vmlinux]  [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-3085     [kernel.vmlinux]  [k] io_read
     0.87%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] io_wq_submit_work
     0.87%     0.00%  iou-wrk-3080     [kernel.vmlinux]  [k] io_issue_sqe
     0.87%     0.03%  iou-wrk-3077     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.01%  iou-wrk-3080     [kernel.vmlinux]  [k] io_read
     0.86%     0.05%  iou-wrk-3084     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.03%  iou-wrk-3092     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.05%  iou-wrk-3087     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.02%  iou-wrk-3078     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.00%  iou-wrk-3095     [kernel.vmlinux]  [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3095     [kernel.vmlinux]  [k] io_read
     0.86%     0.00%  iou-wrk-3095     [kernel.vmlinux]  [k] io_issue_sqe
     0.85%     0.04%  iou-wrk-3066     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.00%  iou-wrk-3081     [kernel.vmlinux]  [k] io_wq_submit_work
     0.85%     0.04%  iou-wrk-3088     [kernel.vmlinux]  [k] filemap_read
