# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.16%     0.04%  iou-wrk-3249     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.03%  iou-wrk-3258     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.04%  iou-wrk-3251     [kernel.vmlinux]            [k] filemap_read
     1.16%     0.03%  iou-wrk-3256     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3229     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3239     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3228     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3221     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3254     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3246     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3227     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3257     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3247     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3243     [kernel.vmlinux]            [k] filemap_read
