# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.14%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.00%  iou-wrk-2937     [kernel.vmlinux]    [k] io_read
     2.14%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] io_wq_submit_work
     2.14%     0.00%  iou-wrk-2939     [kernel.vmlinux]    [k] io_read
     2.14%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] io_read
     2.14%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] io_wq_submit_work
     2.14%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] io_issue_sqe
     2.14%     0.02%  iou-wrk-2930     [kernel.vmlinux]    [k] filemap_read
     2.13%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] io_issue_sqe
     2.13%     0.02%  iou-wrk-2959     [kernel.vmlinux]    [k] filemap_read
     2.13%     0.00%  iou-wrk-2958     [kernel.vmlinux]    [k] io_read
     2.13%     0.00%  iou-wrk-2931     [kernel.vmlinux]    [k] io_read
     2.13%     0.02%  iou-wrk-2963     [kernel.vmlinux]    [k] filemap_read
     2.13%     0.02%  iou-wrk-2934     [kernel.vmlinux]    [k] filemap_read
     2.13%     0.07%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     2.13%     0.02%  iou-wrk-2948     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-2954     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-2945     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] io_wq_submit_work
     2.12%     0.02%  iou-wrk-2964     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] io_issue_sqe
     2.12%     0.02%  iou-wrk-2950     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-2933     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-2936     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.02%  iou-wrk-2960     [kernel.vmlinux]    [k] filemap_read
     2.12%     0.00%  iou-wrk-2944     [kernel.vmlinux]    [k] io_read
     2.11%     0.02%  iou-wrk-2929     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.02%  iou-wrk-2965     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.02%  iou-wrk-2968     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.01%  iou-wrk-2952     [kernel.vmlinux]    [k] filemap_read
     2.11%     0.02%  iou-wrk-2962     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-2937     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-2939     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-2935     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-2958     [kernel.vmlinux]    [k] filemap_read
     2.10%     0.02%  iou-wrk-2931     [kernel.vmlinux]    [k] filemap_read
     2.08%     0.02%  iou-wrk-2944     [kernel.vmlinux]    [k] filemap_read
     1.96%     0.02%  kswapd0          [kernel.vmlinux]    [k] _raw_spin_lock_irq
     1.96%     1.96%  kswapd0          [kernel.vmlinux]    [k] native_queued_spin_lock_slowpath
