# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.59%     0.01%  iou-wrk-3411     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3414     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3456     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3454     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3409     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3421     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3435     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3413     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3436     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3434     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3433     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3438     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3402     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3441     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3447     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3453     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3386     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3390     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3430     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3417     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3464     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3404     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3405     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3401     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3419     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3418     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3451     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3431     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3457     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3407     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3440     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3422     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3443     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3394     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3391     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3423     [kernel.vmlinux]    [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3465     [kernel.vmlinux]    [k] io_worker_handle_work
